customer_id,age,gender,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio,num_complaints_12_mon,days_since_last_complaint,churn_flag
CC_000001,42.0,M,High School,Married,$80K - $120K,Blue,54.0,4.0,2.0,1.0,15293.81,741.0,14552.81,0.833,8364.56,77.0,0.859,0.208,1.0,342.0,0
CC_000002,26.0,,High School,Single,$40K - $60K,Blue,40.0,4.0,5.0,3.0,3425.29,0.0,3425.29,0.561,3963.87,42.0,0.017,0.133,2.0,21.0,1
CC_000003,35.0,M,High School,Unknown,Less than $40K,Blue,38.0,4.0,3.0,2.0,11498.07,2011.0,9487.07,0.757,4617.3,88.0,0.675,0.25,1.0,201.0,0
CC_000004,42.0,F,Graduate,Married,Less than $40K,Blue,40.0,1.0,1.0,0.0,11311.55,787.0,10524.55,0.777,4167.79,74.0,0.845,0.036,0.0,,0
CC_000005,42.0,F,Unknown,Single,$60K - $80K,Silver,34.0,2.0,2.0,0.0,8060.26,1445.0,6615.26,0.873,5374.22,67.0,0.916,0.333,0.0,,0
CC_000006,45.0,M,Graduate,,Less than $40K,,48.0,,1.0,,10992.63,0.0,10992.63,1.151,8228.78,86.0,0.591,0.454,1.0,87.0,0
CC_000007,46.0,F,Post-Graduate,Married,Less than $40K,Blue,55.0,4.0,1.0,,3391.26,1549.0,1842.26,0.843,2975.38,46.0,0.481,0.553,0.0,,0
CC_000008,35.0,F,Graduate,Single,$40K - $60K,Blue,26.0,2.0,4.0,1.0,3769.92,747.0,3022.92,0.88,4138.4,32.0,0.617,0.358,4.0,148.0,1
CC_000009,46.0,F,Post-Graduate,Single,$60K - $80K,Gold,44.0,5.0,1.0,2.0,13413.98,1808.0,11605.98,0.849,7994.01,58.0,0.823,0.475,0.0,,0
CC_000010,33.0,M,High School,Married,$60K - $80K,Blue,27.0,4.0,1.0,2.0,6225.75,2070.0,4155.75,0.555,4743.13,64.0,1.022,0.272,3.0,335.0,0
CC_000011,35.0,F,Post-Graduate,Single,$60K - $80K,Blue,13.0,4.0,0.0,2.0,4655.55,0.0,4655.55,0.921,5781.04,45.0,0.725,0.403,,,0
CC_000012,50.0,F,Doctorate,Single,$120K +,Blue,23.0,1.0,3.0,4.0,3765.59,2021.0,1744.59,0.937,1139.28,56.0,0.658,0.117,2.0,292.0,1
CC_000013,41.0,F,High School,Single,Less than $40K,Blue,41.0,5.0,1.0,1.0,6508.55,790.0,5718.55,0.849,4763.56,48.0,0.668,0.113,0.0,,0
CC_000014,53.0,F,College,Single,$60K - $80K,Blue,42.0,1.0,2.0,0.0,33082.02,1525.0,31557.02,0.66,3143.36,19.0,0.604,0.065,2.0,268.0,0
CC_000015,33.0,M,Unknown,Married,Less than $40K,,39.0,4.0,1.0,0.0,3365.55,1888.0,1477.55,0.845,13826.51,92.0,,0.182,0.0,,0
CC_000016,40.0,F,Post-Graduate,Divorced,,Blue,44.0,3.0,1.0,1.0,13167.55,593.0,12574.55,0.864,6588.79,83.0,0.877,0.261,0.0,,0
CC_000017,52.0,F,High School,Married,$60K - $80K,Silver,29.0,5.0,2.0,2.0,10213.86,569.0,9644.86,0.955,9199.96,71.0,0.511,0.329,1.0,251.0,0
CC_000018,41.0,M,Graduate,Married,Less than $40K,Blue,38.0,5.0,2.0,1.0,12213.19,818.0,11395.19,0.933,4557.7,82.0,0.768,0.281,0.0,,0
CC_000019,48.0,F,College,Unknown,$40K - $60K,Blue,42.0,5.0,1.0,2.0,7481.06,1611.0,5870.06,0.984,6259.12,75.0,0.653,0.103,0.0,,0
CC_000020,42.0,F,Graduate,Single,$80K - $120K,Blue,49.0,2.0,2.0,3.0,2830.82,1725.0,1105.82,0.839,10768.47,96.0,0.87,0.488,1.0,140.0,0
CC_000021,46.0,F,College,Single,Less than $40K,Silver,36.0,5.0,0.0,,4720.84,2456.0,2264.84,0.668,6334.55,57.0,0.714,0.174,4.0,227.0,0
CC_000022,41.0,M,High School,Married,$40K - $60K,Blue,33.0,5.0,1.0,1.0,7342.95,2318.0,5024.95,0.733,5348.4,107.0,0.744,0.63,1.0,51.0,0
CC_000023,50.0,F,Graduate,Married,Unknown,Blue,35.0,1.0,2.0,3.0,13465.94,2307.0,11158.94,0.866,2811.52,91.0,0.891,0.1,0.0,,0
CC_000024,30.0,M,Post-Graduate,Married,$40K - $60K,Silver,24.0,3.0,2.0,0.0,2345.26,1986.0,359.26,1.009,1551.34,60.0,0.84,0.513,,,0
CC_000025,40.0,F,Doctorate,Single,$80K - $120K,Blue,43.0,2.0,1.0,0.0,1495.3,1917.0,0.0,0.914,15578.02,57.0,0.548,0.407,0.0,,0
CC_000026,46.0,F,High School,Single,$80K - $120K,Blue,21.0,5.0,2.0,0.0,30278.13,836.0,29442.13,1.001,5267.04,75.0,0.758,0.012,0.0,,0
CC_000027,48.0,F,Post-Graduate,Married,Less than $40K,Silver,39.0,3.0,2.0,1.0,15326.69,,14625.69,0.914,18484.0,50.0,0.769,0.096,1.0,150.0,0
CC_000028,57.0,M,High School,Unknown,Less than $40K,Blue,36.0,3.0,2.0,3.0,4713.48,0.0,4713.48,0.815,7391.0,68.0,,0.648,1.0,353.0,0
CC_000029,40.0,F,College,Married,$80K - $120K,Blue,20.0,2.0,0.0,1.0,7873.89,2458.0,5415.89,0.871,3605.09,99.0,0.814,0.137,0.0,,0
CC_000030,57.0,F,Unknown,Single,$80K - $120K,Blue,21.0,4.0,3.0,1.0,6782.26,1242.0,5540.26,0.869,4713.4,76.0,0.842,0.173,1.0,305.0,0
CC_000031,38.0,M,Graduate,Married,Less than $40K,Blue,27.0,1.0,0.0,1.0,11977.41,1500.0,10477.41,0.893,13410.97,114.0,0.501,0.51,0.0,,0
CC_000032,55.0,F,High School,Single,Less than $40K,Blue,32.0,5.0,2.0,2.0,6330.4,0.0,6330.4,0.932,12220.08,57.0,0.642,0.027,1.0,205.0,0
CC_000033,51.0,F,High School,,$40K - $60K,Blue,50.0,1.0,2.0,2.0,3790.17,607.0,3183.17,0.793,9123.2,82.0,0.793,0.154,0.0,,0
CC_000034,47.0,F,Graduate,Married,$80K - $120K,Blue,42.0,2.0,6.0,5.0,12364.36,1712.0,10652.36,1.136,2328.75,54.0,0.731,0.203,2.0,193.0,1
CC_000035,50.0,M,Post-Graduate,Married,$40K - $60K,Blue,47.0,6.0,4.0,4.0,8934.48,0.0,8934.48,,3666.18,37.0,0.393,0.188,1.0,45.0,1
CC_000036,43.0,M,Unknown,Divorced,Unknown,Blue,48.0,6.0,3.0,0.0,14514.12,604.0,13910.12,1.083,11299.36,,0.905,0.189,0.0,,0
CC_000037,49.0,F,Post-Graduate,Married,Unknown,,46.0,,2.0,2.0,10088.05,1094.0,8994.05,0.682,7484.46,58.0,0.762,0.322,1.0,32.0,0
CC_000038,41.0,M,Doctorate,Married,$80K - $120K,Blue,35.0,2.0,1.0,2.0,8003.54,2517.0,,0.653,13301.47,55.0,0.731,0.25,1.0,331.0,0
CC_000039,41.0,M,Post-Graduate,Single,$60K - $80K,Blue,28.0,3.0,0.0,1.0,5054.59,988.0,4066.59,0.709,4981.37,63.0,0.861,0.25,0.0,,0
CC_000040,56.0,F,Doctorate,,$40K - $60K,Blue,40.0,4.0,3.0,1.0,6856.8,1308.0,5548.8,0.667,2949.78,62.0,1.083,,0.0,,0
CC_000041,43.0,M,Uneducated,Unknown,Less than $40K,Blue,29.0,1.0,1.0,1.0,13002.8,1194.0,11808.8,0.751,6314.84,52.0,0.784,0.575,0.0,,0
CC_000042,51.0,F,Unknown,Married,$60K - $80K,Silver,54.0,4.0,1.0,2.0,24558.98,1387.0,23171.98,0.623,6861.38,101.0,0.759,0.335,0.0,,0
CC_000043,41.0,F,College,Single,$40K - $60K,Blue,44.0,4.0,0.0,1.0,25452.31,2283.0,23169.31,1.018,3280.03,66.0,0.638,0.372,1.0,313.0,0
CC_000044,29.0,F,Unknown,Married,Less than $40K,Silver,36.0,3.0,2.0,5.0,,1100.0,10340.97,0.66,2452.54,24.0,0.448,0.203,0.0,,1
CC_000045,,F,Uneducated,Married,$60K - $80K,Blue,41.0,6.0,1.0,3.0,11031.22,2517.0,8514.22,,7751.21,88.0,0.491,0.472,0.0,,0
CC_000046,38.0,M,Graduate,Unknown,$40K - $60K,Blue,37.0,3.0,3.0,1.0,9905.25,1410.0,8495.25,0.661,3113.42,93.0,0.745,0.086,0.0,,0
